State,Preliminary Total Turnout Estimate,Status,Source,Preliminary Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
New York,"59,62,278",Certified,https://www.elections.ny.gov/,42.50%,"1,40,26,187","1,56,76,287",10.30%,"32,574",0,0,"32,574",,NY
North Carolina,"37,90,202",Official,https://er.ncsbe.gov/,47.50%,"79,72,970","84,55,572",5.40%,"28,406",0,0,"28,406",,NC
North Dakota,"2,42,566",Official,https://results.sos.nd.gov/Default.aspx?map=Cty&mode=0,41.70%,"5,81,570","5,98,899",2.70%,"1,384",0,0,"1,384",,ND
Ohio,"42,01,368",Official,https://www.ohiosos.gov/elections/election-results-and-data/2022-official-election-results/,47.10%,"89,21,202","91,99,881",2.50%,"44,608",0,0,"44,608",,OH
Oklahoma,"11,53,284",Official,https://results.okelections.us/OKER/?elecDate=20221108,39.60%,"29,13,333","30,80,502",4.10%,"22,071","15,889","2,237","40,197",,OK
Oregon,"19,97,689",Official,https://sos.oregon.gov/elections/Pages/electionhistory.aspx,62.30%,"32,08,133","34,09,264",5.50%,"12,753",0,0,"12,753",,OR
Pennsylvania,"54,10,022",Final Total Turnout Pending,https://www.electionreturns.pa.gov/,54.40%,"99,53,327","1,03,66,708",3.60%,"38,938",0,0,"38,938",,PA
Rhode Island,"3,61,449",Certified,https://twitter.com/RI_BOE/status/1597301970133716992/photo/1,43.60%,"8,28,495","8,90,835",6.70%,"2,227",0,0,"2,227",,RI
South Carolina,"17,18,626",Official,https://www.enr-scvotes.org/SC/115412/Web02-state.307150/#/?undefined,42.80%,"40,18,588","41,95,145",3.30%,"15,787","18,208","4,638","38,633",,SC
South Dakota,"3,54,670",Official,https://electionresults.sd.gov/default.aspx,53.10%,"6,68,380","6,95,896",2.20%,"3,176","5,210","3,673","12,059",,SD
Tennessee,"17,56,397",Certified,https://sos.tn.gov/elections/results,33.30%,"52,70,397","55,39,421",3.50%,"22,205","41,780","12,407","76,392",,TN
Texas,"81,51,590",Official,https://results.texas-election.com/races,41.80%,"1,94,99,000","2,27,46,809",12.20%,"1,28,653","2,30,704","1,10,437","4,69,794",,TX
Utah,"10,84,634",Certified,https://vote.utah.gov/wp-content/uploads/sites/42/2022/12/Signed-2022-General-Election-State-Canvass-Certification.pdf,46.80%,"23,17,746","24,68,679",5.90%,"5,249",0,0,"5,249",,UT
Vermont,"2,91,955",Certified,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,56.00%,"5,21,758","5,33,545",2.00%,0,0,0,0,,VT
Virginia,"30,21,956",Official,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Statistics/Index.html,47.60%,"63,48,891","68,36,463",6.00%,"30,620","44,353","2,017","76,990",,VA
Washington,"30,67,686",Final,https://results.vote.wa.gov/results/20221108/,55.30%,"55,43,001","61,64,761",8.80%,"15,056","49,805","14,536","79,397",,WA
West Virginia,"4,94,753",Official,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary,35.40%,"13,96,169","14,23,003",0.90%,"6,031","4,308","3,682","14,021",,WV
Wisconsin,"26,73,154",Certified,https://elections.wi.gov/elections/election-results#accordion-5601,59.80%,"44,67,396","46,55,496",3.00%,"19,846","26,486","23,174","69,506",,WI
Wyoming,"1,98,198",Official,https://sos.wyo.gov/Elections/Docs/2022/2022GeneralResults.aspx,45.60%,"4,34,797","4,52,896",2.50%,"2,034","3,745",954,"6,733",,WY
